Q25
I have never studied machine learning but plan to learn in the future
I have never studied machine learning but plan to learn in the future
< 1 year
4-5 years
2-3 years
< 1 year
< 1 year
< 1 year
I have never studied machine learning but plan to learn in the future
< 1 year
1-2 years
5-10 years
1-2 years
1-2 years
1-2 years
1-2 years
1-2 years
< 1 year
1-2 years
3-4 years
1-2 years
I have never studied machine learning but plan to learn in the future
4-5 years
1-2 years
5-10 years
1-2 years
I have never studied machine learning but plan to learn in the future
1-2 years
I have never studied machine learning but plan to learn in the future
1-2 years
< 1 year
I have never studied machine learning and I do not plan to
< 1 year
1-2 years
3-4 years
< 1 year
< 1 year
< 1 year
3-4 years
< 1 year
1-2 years
3-4 years
< 1 year
1-2 years
4-5 years
< 1 year
< 1 year
1-2 years
20+ years
1-2 years
4-5 years
< 1 year
1-2 years
1-2 years
1-2 years
2-3 years
< 1 year
3-4 years
2-3 years
< 1 year
2-3 years
1-2 years
1-2 years
< 1 year
2-3 years
1-2 years
I have never studied machine learning but plan to learn in the future
10-15 years
1-2 years
1-2 years
1-2 years
< 1 year
5-10 years
1-2 years
1-2 years
5-10 years
< 1 year
2-3 years
< 1 year
1-2 years
4-5 years
1-2 years
< 1 year
< 1 year
< 1 year
1-2 years
I have never studied machine learning but plan to learn in the future
1-2 years
5-10 years
< 1 year
< 1 year
3-4 years
I have never studied machine learning but plan to learn in the future
1-2 years
I have never studied machine learning but plan to learn in the future
I have never studied machine learning but plan to learn in the future
< 1 year
2-3 years
1-2 years
5-10 years
3-4 years
1-2 years
I have never studied machine learning but plan to learn in the future
2-3 years
4-5 years
1-2 years
2-3 years
1-2 years
2-3 years
1-2 years
2-3 years
1-2 years
10-15 years
< 1 year
< 1 year
< 1 year
5-10 years
< 1 year
3-4 years
I have never studied machine learning but plan to learn in the future
1-2 years
1-2 years
< 1 year
1-2 years
< 1 year
2-3 years
4-5 years
2-3 years
I have never studied machine learning but plan to learn in the future
1-2 years
< 1 year
3-4 years
3-4 years
3-4 years
2-3 years
2-3 years
20+ years
< 1 year
2-3 years
1-2 years
1-2 years
1-2 years
I have never studied machine learning but plan to learn in the future
1-2 years
< 1 year
I have never studied machine learning but plan to learn in the future
< 1 year
1-2 years
1-2 years
1-2 years
< 1 year
< 1 year
1-2 years
5-10 years
1-2 years
< 1 year
1-2 years
< 1 year
< 1 year
< 1 year
< 1 year
3-4 years
3-4 years
1-2 years
1-2 years
< 1 year
< 1 year
2-3 years
< 1 year
< 1 year
< 1 year
1-2 years
2-3 years
1-2 years
3-4 years
1-2 years
3-4 years
< 1 year
2-3 years
1-2 years
4-5 years
< 1 year
2-3 years
I have never studied machine learning but plan to learn in the future
I have never studied machine learning but plan to learn in the future
< 1 year
< 1 year
2-3 years
I have never studied machine learning but plan to learn in the future
1-2 years
1-2 years
< 1 year
1-2 years
2-3 years
1-2 years
1-2 years
< 1 year
< 1 year
< 1 year
1-2 years
< 1 year
< 1 year
I have never studied machine learning but plan to learn in the future
3-4 years
< 1 year
< 1 year
1-2 years
< 1 year
I have never studied machine learning and I do not plan to
1-2 years
1-2 years
< 1 year
2-3 years
1-2 years
1-2 years
1-2 years
< 1 year
< 1 year
1-2 years
1-2 years
2-3 years
2-3 years
< 1 year
< 1 year
1-2 years
< 1 year
< 1 year
1-2 years
< 1 year
I have never studied machine learning but plan to learn in the future
I have never studied machine learning but plan to learn in the future
I have never studied machine learning but plan to learn in the future
1-2 years
4-5 years
1-2 years
1-2 years
< 1 year
I have never studied machine learning but plan to learn in the future
1-2 years
< 1 year
1-2 years
1-2 years
3-4 years
